,blockchain,category,contract_address,decimals,from,time,to,token,value
0,avalanche_c,from,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,18.0,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,dai-dai,102189680000000000000000
1,avalanche_c,from,0xc7198437980c041c805a1edcba50c1ce5db95118,6.0,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,usdte-tether-usde,57730370000
2,avalanche_c,from,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6.0,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,usdce-usd-coine,374709140000
3,,from,0x55904f416586b5140a0f666cf5acf320adf64846,,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x8f0b51340fd61349ffb4fb32d0eeaacdcf6d7357,,651542340000000000000000
4,,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2022-01-05 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,,20000000000000000000000
5,,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-14 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,,4395280000000000000000
6,,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-12-02 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,,50000000000000000000000
7,,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2022-01-05 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,,23750000000000000000000
8,,from,0x321e7092a180bb43555132ec53aaa65a5bf84251,,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-30 00:00:00.000 UTC,0xb10209bfbb37d38ec1b5f0c964e489564e223ea7,,175000000000000000000
9,,from,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,,0xd7ada77aa0f82e6b3cf5bf9208b0e5e1826cd79c,2021-11-15 00:00:00.000 UTC,0xf725826f20660798c945e9e36fef575492d58f64,,9871613140000000000000000
