,blockchain,category,contract_address,decimals,from,time,to,token,value
0,,in,0x7c7d0b2362294474c218e2dcf31be03fd2d00c80,,0x0000000000000000000000000000000000000000,2022-02-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000
1,,in,0xde8eadffd0d31a1095252c2cdc9f69917e60e85c,,0x8d3f9fb3312d66df033f0d79b6ab9a37216ad459,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,676304
2,,in,0xbe0e67fb615014b755af404cfa36fa740f1c8a9f,,0x0000000000000000000000000000000000000000,2022-02-07 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000
3,,in,0xde8eadffd0d31a1095252c2cdc9f69917e60e85c,,0x8d3f9fb3312d66df033f0d79b6ab9a37216ad459,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,676304000000000000000000
4,,in,0x43cf58380e69594fa2a5682de484ae00edd83e94,,0x1f6a0656ff5061930076bf0386b02091e0839f9f,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,51439032482329771468411
5,,in,0x33edf098e1da3685587ff0f56270c5b44614a21c,,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000
6,,in,0x3ddf130b136ae0b5c47d55ad9b800208d345e88d,,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,2022-12-02 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1030
7,fantom,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,27146327875903671191592
8,fantom,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,47610929911544319583294
9,fantom,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,2211933311706705628360
10,fantom,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,4304468302249214815592
11,fantom,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,9817256866164530303626
12,fantom,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,4450895051685554130773
13,,in,0x383c5e5a05ba830579adc2fccd6403894e1caa59,,0x383c5e5a05ba830579adc2fccd6403894e1caa59,2022-08-19 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,150000000000000
14,,in,0xf213da0cbe5c3b54882abe25c24222c980e7daef,,0x0000000000000000000000000000000000000000,2022-02-04 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000
15,,in,0x4c7a826dea3a6bd3a50f2a78591e712eb34c6430,,0xd152f549545093347a162dce210e7293f1452150,2022-02-14 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,999999000000000000000000
16,,in,0x425c59c641f1d9a24e6665fbde726434302c4761,,0x8888888888888888888888888888888888888888,2023-05-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,88888888
17,,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,54642132728882320435
18,,in,0x042e124fb8a0d9afd4142ec5811584b9d62b09ff,,0x042e124fb8a0d9afd4142ec5811584b9d62b09ff,2023-02-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,100000000
19,,in,0x82f0b8b456c1a451378467398982d4834b6829c1,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,5214026124244467955015
20,,in,0xa7f09e7be9e7b777126003dab2fa4161f5325343,,0xa7f09e7be9e7b777126003dab2fa4161f5325343,2022-06-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,150000000000000
21,,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,,0x879e748ec718717c7a33496b695c569f0901965d,2022-03-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,548775936050054099500
22,,in,0x8ab54968a3625f4e4b91da4175a73a126b1d2e71,,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329
23,,in,0x98e4b3866602fc72ff766616e15146c9153b473b,,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-08-04 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,2200000000000000000000
24,,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,163146506028215462692
25,,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,238191846560683017657
26,,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,,0x879e748ec718717c7a33496b695c569f0901965d,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,287560657824950397277
27,,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,,0x879e748ec718717c7a33496b695c569f0901965d,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,375614393992299436027
28,,in,0xe55e19fb4f2d85af758950957714292dac1e25b2,,0x037d2726971fb81a54b16a04565dc8d853052409,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,209257904903211955416
29,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,44233651083279590574145
30,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,2533571326
31,,in,0xbe1b23d652580052dd8e774e0e7e92cf5cc31bb3,,0xbe1b23d652580052dd8e774e0e7e92cf5cc31bb3,2022-08-19 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,150000000000000
32,,in,0xe52a9eb2505a072324984c818c0f49c19c8b6abb,,0xe52a9eb2505a072324984c818c0f49c19c8b6abb,2022-04-20 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,150000000000000
33,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,6635073997534010191459
34,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,35613063
35,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0x1f6a0656ff5061930076bf0386b02091e0839f9f,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,13497605919286088451854
36,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,9051288908
37,,in,0xb94e7b8a61a9a5be65053684e8cae71134eb6fd1,,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329
38,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,24766749094551702762433
39,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,356994634351161420793
40,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,47766674961597519029819
41,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,37605747009
42,,in,0xda87a2cf59e4a731f431dac124a1babefaf2b2f3,,0x40fcbb53203afb640e716a9cc2d6720e36d9c9c9,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,7273290000000
43,,in,0xda87a2cf59e4a731f431dac124a1babefaf2b2f3,,0x0000000000000000000000000000000000000000,2022-01-31 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,7273290000000
44,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,11757258186
45,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,6559119390
46,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,478391612765348654117004
47,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,12841999443
48,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,37378053665
49,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,23402777653584156791069
50,,in,0xed2a7edd7413021d440b09d654f3b87712abab66,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,5740040996441108452087
51,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,10124527932
52,fantom,in,0x049d68029688eabf473097a2fc38ef61633a3c7a,,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,3760980840
53,,in,0xe4517100ae62cbeefc363e59d0f8df5754dc7e40,,0xe4517100ae62cbeefc363e59d0f8df5754dc7e40,2022-04-22 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,300000000000000
54,,in,0x724dbe4dbe0676269c87843b62b03e3efb51218d,,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,2022-02-14 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,591573000000000000000000
55,,in,0xccce97988377254850e2d9c51df15a382dee36e8,,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-11 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000000
56,,in,0x724dbe4dbe0676269c87843b62b03e3efb51218d,,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,2022-02-14 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000
57,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-08-12 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
58,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-10-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
59,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-07-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
60,,in,0x3b6e5fa0322888b94dca443ce4f3785ac0001dfa,,0x2d407ddb06311396fe14d4b49da5f0471447d45c,2022-02-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000
61,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-09-06 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
62,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-08-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
63,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-10-27 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
64,,in,0x8561d0e8449e530c0ee05b21c1f72199c7e2b84c,,0x8561d0e8449e530c0ee05b21c1f72199c7e2b84c,2022-04-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,9500000000000
65,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-08-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
66,,in,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b,2022-08-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1000000000000000000
67,,in,0x7082ca5058c358997063400ad78306b16a5c30d9,,0x7082ca5058c358997063400ad78306b16a5c30d9,2022-04-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,150000000000000
68,,in,0x5a7aad61871a39a972c11aa9cd48e8df1e10311d,,0x74b23882a30290451a17c44f4f05243b6b58c76d,2022-09-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,870000000000000000
69,,in,0x67c10c397dd0ba417329543c1a40eb48aaa7cd00,,0x8d9ba570d6cb60c7e3e0f31343efe75ab8e65fb1,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,1161520609773273537
70,,in,0x67c10c397dd0ba417329543c1a40eb48aaa7cd00,,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2022-03-09 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,37338607867864707338
71,,in,0x67c10c397dd0ba417329543c1a40eb48aaa7cd00,,0x8d9ba570d6cb60c7e3e0f31343efe75ab8e65fb1,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,3627120809618547245
72,fantom,in,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,18.0,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,ftm-fantom,393633523896938215787
73,fantom,in,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,18.0,0x037d2726971fb81a54b16a04565dc8d853052409,2022-03-16 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,ftm-fantom,360450937462383513447
74,,in,0xf99bd553aab938907b655d7eed5e6b8cbc527080,,0xb81de2c379f982e0c930f6a58a9e1e2214213522,2022-01-30 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,,727329000000000000000000
75,fantom,in,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,18.0,0x037d2726971fb81a54b16a04565dc8d853052409,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,ftm-fantom,490015607535005504042
76,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x879e748ec718717c7a33496b695c569f0901965d,2022-04-13 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,1017325381
77,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x879e748ec718717c7a33496b695c569f0901965d,2022-03-23 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,732239019
78,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,12676773090
79,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2021-11-15 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,17933733919
80,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,90785617598
81,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,29352165053
82,fantom,in,0x74b23882a30290451a17c44f4f05243b6b58c76d,18.0,0x8d9ba570d6cb60c7e3e0f31343efe75ab8e65fb1,2022-03-10 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,weth-weth,4500666247566175953
83,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x080f6aed32fc474dd5717105dba5ea57268f46eb,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,37663289
84,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,2021-11-28 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,11859067969
85,fantom,in,0x04068da6c83afcfa0e13ba15a6696662335d5b75,6.0,0x85662fd123280827e11c59973ac9fcbe838dc3b4,2023-05-24 00:00:00.000 UTC,0x224002428cf0ba45590e0022df4b06653058f22f,usdc-usd-coin,59426120360
