contract_address,0x080f6aed32fc474dd5717105dba5ea57268f46eb,0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0xe264cb5a941f98a391b9d5244378edf79bf5c19e,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8
,snx-synthetix-network-token,nUSD,nETH,weth-weth,dai-dai,USD LP,usdt-tether,usdc-usd-coin
,syn,nUSD,nETH,weth,dai,USD-LP,usdt,usdc.e
2021-10,0.0,0.0,0.009064038030231814,0.0,0.0,0.0,0.0,0.0
2021-11,0.0,35489.46917446913,0.041026556727043584,0.1852110261437261,4461.748133425535,60162.15686298776,10934.710224,15726.470751
2021-12,0.0,35489.46917446913,0.11637694899383,0.1852110261437261,4461.748133425535,60162.15686298776,10934.710224,15726.470751
2022-01,0.0,89.46917446912994,0.11637694899383,0.1852110261437261,4461.748133425535,60162.15686298776,10934.710224,15726.470751
2022-02,0.0,89.46917446912994,72.84594994413541,0.025211026143726195,4461.748133425535,60162.15686298776,10934.710224,15726.470751
2022-03,0.0,89.46917446912994,52.84594994413541,0.025211026143726195,4461.748133425535,60162.15686298776,10934.710224,15726.470751
2022-04,0.0,89.46917446912994,32.84594994413541,0.025211026143726195,4461.748133425535,60162.15686298776,10934.710224,15726.470751
2022-05,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2022-06,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2022-07,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2022-08,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2022-09,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2022-10,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2022-11,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2022-12,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2023-01,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2023-02,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2023-03,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2023-04,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2023-05,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2023-06,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
2023-07,449999.9999999999,0.00917446912994535,0.005949944135416274,0.025211026143726195,0.0081334255355614,0.006862987756903749,0.00022400000125344377,0.0007510000014008256
