,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
22,in,0x9e2d266d6c90f6c0d80a88159b15958f7135b8af,0xd152f549545093347a162dce210e7293f1452150,2022-07-25 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,StakeShare,8.39e+23,polygon-pos,SSX,18.0,838999.9999999999
23,in,0x9e2d266d6c90f6c0d80a88159b15958f7135b8af,0xd152f549545093347a162dce210e7293f1452150,2021-12-14 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,StakeShare,9.23e+23,polygon-pos,SSX,18.0,922999.9999999999
24,in,0x9e2d266d6c90f6c0d80a88159b15958f7135b8af,0xd152f549545093347a162dce210e7293f1452150,2022-02-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,StakeShare,6.7318e+22,polygon-pos,SSX,18.0,67317.99999999999
26,in,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,USD Coin (PoS),6945089630.0,polygon-pos,USDC,6.0,6945.0896299999995
27,in,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,USD Coin (PoS),10735619731.0,polygon-pos,USDC,6.0,10735.619730999999
28,in,0x2e618eabe66818f4c6718c24f59c5694f0b2735a,0x4c23d301ed0dbf717706c3539b5cf32ab799ad9a,2023-01-24 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,SIMP Token,29367000000000.0,polygon-pos,SIMP,9.0,29366.999999999996
29,in,0xb6c473756050de474286bed418b77aeac39b02af,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,7.669539862991666e+21,polygon-pos,nUSD,18.0,7669.539862991664
30,in,0xb6c473756050de474286bed418b77aeac39b02af,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-10-24 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,1.7833152863161945e+22,polygon-pos,nUSD,18.0,17833.152863161944
31,in,0xb6c473756050de474286bed418b77aeac39b02af,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2022-10-02 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,1.9919522906909352e+23,polygon-pos,nUSD,18.0,199195.2290690935
33,in,0xb6c473756050de474286bed418b77aeac39b02af,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,4.5690660593550785e+21,polygon-pos,nUSD,18.0,4569.066059355078
34,in,0xb6c473756050de474286bed418b77aeac39b02af,0x96cf323e477ec1e17a4197bdcc6f72bb2502756a,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,1.592365534741389e+22,polygon-pos,nUSD,18.0,15923.655347413887
35,in,0xb6c473756050de474286bed418b77aeac39b02af,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,1.9105729137284777e+22,polygon-pos,nUSD,18.0,19105.729137284776
36,in,0xb6c473756050de474286bed418b77aeac39b02af,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2022-01-20 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,nUSD,1.1411098136480523e+23,polygon-pos,nUSD,18.0,114110.98136480522
37,in,0xd8ca34fd379d9ca3c6ee3b3905678320f5b45195,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,2022-01-20 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,Governance OHM,6.616272138702038e+17,polygon-pos,gOHM,18.0,0.6616272138702037
39,in,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x3f52e42783064beba9c1cfcd2e130d156264ca77,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,(PoS) Tether USD,6120835733.0,polygon-pos,USDT,6.0,6120.835733
40,in,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-15 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,(PoS) Tether USD,1571242816.0,polygon-pos,USDT,6.0,1571.242816
41,in,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5,2021-11-28 00:00:00.000 UTC,0xbdd38b2eaae34c9fce187909e81e75cbec0daa7a,(PoS) Tether USD,2514188507.0,polygon-pos,USDT,6.0,2514.188507
