,category,contract_address,from,time,to,token,value,blockchain,ticker,decimal,calc_value
0,in,0x4200000000000000000000000000000000000042,0x2501c477d0a35545a387aa4a3eee4292a9a8b3f0,2023-03-24 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,Optimism,1e+24,optimistic-ethereum,OP,18.0,999999.9999999999
1,in,0x185880152b833718aafa97cc4b0d589dbde55f5e,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,2023-04-17 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,Optimism,1457.0,optimistic-ethereum,OP,18.0,1.4569999999999998e-15
2,in,0x6fa6ae6da7ba171fb973eed4e541e80b7e5709c7,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,2023-03-27 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,Optimism,6839.0,optimistic-ethereum,OP,18.0,6.838999999999999e-15
4,in,0x6fa6ae6da7ba171fb973eed4e541e80b7e5709c7,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,2023-03-31 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,Optimism,4422.0,optimistic-ethereum,OP,18.0,4.422e-15
5,in,0x809dc529f07651bd43a172e8db6f4a7a0d771036,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2021-12-02 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,nETH,6.055118313542491e+18,optimistic-ethereum,nETH,18.0,6.05511831354249
6,from,0x809dc529f07651bd43a172e8db6f4a7a0d771036,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2022-01-23 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,nETH,1e+18,optimistic-ethereum,nETH,18.0,0.9999999999999999
7,from,0x809dc529f07651bd43a172e8db6f4a7a0d771036,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2021-12-02 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,nETH,1e+18,optimistic-ethereum,nETH,18.0,0.9999999999999999
8,from,0x4200000000000000000000000000000000000042,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2023-03-25 00:00:00.000 UTC,0x450f82319f940936f1f4f253b468c3e6e566cdd5,Optimism,1e+18,optimistic-ethereum,OP,18.0,0.9999999999999999
9,from,0x4200000000000000000000000000000000000042,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2023-03-26 00:00:00.000 UTC,0x450f82319f940936f1f4f253b468c3e6e566cdd5,Optimism,8.49999e+23,optimistic-ethereum,OP,18.0,849998.9999999999
