,blockchain,category,contract_address,decimals,from,time,to,token,value
0,optimism,in,0x4200000000000000000000000000000000000042,18.0,0x2501c477d0a35545a387aa4a3eee4292a9a8b3f0,2023-03-24 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,op-optimism,1000000000000000000000000
1,,in,0x185880152b833718aafa97cc4b0d589dbde55f5e,,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,2023-04-17 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,,1457
2,,in,0x6fa6ae6da7ba171fb973eed4e541e80b7e5709c7,,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,2023-03-27 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,,6839
3,,in,0x5ce5ac2213213de1731713768a28b8dc43b83166,,0x3b3a7c4f5b6dcd36e5a83ac70fe1e6606173b87e,2023-06-21 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,,100000000000000000000
4,,in,0x6fa6ae6da7ba171fb973eed4e541e80b7e5709c7,,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,2023-03-31 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,,4422
5,,in,0x809dc529f07651bd43a172e8db6f4a7a0d771036,,0xaf41a65f786339e7911f4acdad6bd49426f2dc6b,2021-12-02 00:00:00.000 UTC,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,,6055118313542491168
6,,from,0x809dc529f07651bd43a172e8db6f4a7a0d771036,,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2022-01-23 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,,1000000000000000000
7,,from,0x809dc529f07651bd43a172e8db6f4a7a0d771036,,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2021-12-02 00:00:00.000 UTC,0xb3dad3c24a861b84fdf380b212662620627d4e15,,1000000000000000000
8,optimism,from,0x4200000000000000000000000000000000000042,18.0,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2023-03-25 00:00:00.000 UTC,0x450f82319f940936f1f4f253b468c3e6e566cdd5,op-optimism,1000000000000000000
9,optimism,from,0x4200000000000000000000000000000000000042,18.0,0x2431cbdc0792f5485c4cb0a9bef06c4f21541d52,2023-03-26 00:00:00.000 UTC,0x450f82319f940936f1f4f253b468c3e6e566cdd5,op-optimism,849999000000000000000000
