,blockchain,category,contract_address,decimals,from,time,to,token,value
0,,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-04-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,8400000000000000000000
1,,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-06-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,76500000000000000000000
2,,in,0xcdbd4089c2f98da715e52127680f87afdb183a2e,,0x552cfe6b693997861bc3bf2b479ecaae4ff9d004,2022-10-05 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,258386000000000000000000
3,,in,0xa51a8578052edeb4ced5333a5e058860d9e7a35b,,0x7951c7ef839e26f63da87a42c9a87986507f1c07,2022-11-26 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,8
4,,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-09-19 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,89001981525434648753219
5,,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-02-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,44100000000000000000000
6,,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-12-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,33900000000000000000000
7,,in,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-04-11 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,27708583331359785429080
8,,in,0x0a9dce8eccbb033fbfd2c5d29ed1c84c39369d85,,0x87545eb89cb3a1936b5a22b260733f70f78eb030,2022-10-27 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,32441000000000000000000
9,,from,0x622236bb180256b6ae1a935dae08dc0356141632,,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-07-28 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,,1000000000000000000
10,,in,0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,,0x5f99880830fd4a6f3ff0c5371db57ddec57259e2,2022-12-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,16802218477080135917345
11,,in,0x75e34a4a04d5f5f7fc01801d2d287d64d882529b,,0x00b8bd6d6f3964418d8b03245ac4a86a208dd3bc,2022-09-20 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,113789000000000000000000
12,ethereum,from,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18.0,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2021-10-08 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,weth-weth,612238348354261851
13,,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-04-29 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,10000000000000000000000
14,,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2023-02-07 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,100000000000000000000000
15,,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-04-06 00:00:00.000 UTC,0xffb57ddc67443637802015214e7267326dbfacb4,,12000000000000000000000
16,,from,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2021-12-31 00:00:00.000 UTC,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,,60000000000000000000000
17,,in,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18.0,0x9e1076cc0d19f9b0b8019f384b0a29e48ee46f7f,2021-12-06 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,tribe-tribe,7616101962616822429906
18,,from,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18.0,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-20 00:00:00.000 UTC,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,tribe-tribe,400000000000000000000000
19,,from,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18.0,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-03-27 00:00:00.000 UTC,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,tribe-tribe,701581122698864165732529
20,ethereum,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6.0,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-07-04 00:00:00.000 UTC,0xeaca6143f6802e37008c53e44323f53093318e9b,usdc-usd-coin,30445800000
21,ethereum,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6.0,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2023-06-08 00:00:00.000 UTC,0x6126ba8ac906e7e15095392ad6ea03c48adceace,usdc-usd-coin,300000000000
22,ethereum,from,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6.0,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,2022-04-02 00:00:00.000 UTC,0x44a1f8afe5e3cac9b8a09efbc2b00ef5013cfe26,usdc-usd-coin,1097000000
23,ethereum,in,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18.0,0x2796317b0ff8538f253012862c06787adfb8ceb6,2021-10-13 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,weth-weth,2027551003678741610
24,ethereum,in,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6.0,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-07-04 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,usdc-usd-coin,11236178215
25,,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-01-20 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,675000000000000000000000
26,,in,0xbaac2b4491727d78d2b78815144570b9f2fe8899,,0x2796317b0ff8538f253012862c06787adfb8ceb6,2022-03-09 00:00:00.000 UTC,0x67f60b0891ebd842ebe55e4ccca1098d7aac1a55,,40000000000000000000000
